LCD (Å),Sacc (m2/gr),Porosity,Qst-H2 (kJ/mol),%C,%F,%H,%N,%O,%S,%Si,NH2 - 1 bar (mol/kg)
8.61807,3926.58,0.737517,3.2392183183,50,0,20,15,15,0,0,0.0398910656
7.7023,4380.51,0.793794,2.9672726548,50,0,20,15,15,0,0,0.0460785078
12.22795,3900.95,0.749426,2.6583310152,50,0,20,15,15,0,0,0.0430210642
10.00499,5885.86,0.780562,2.2204406925,52.17391304,0,30.43478261,8.695652174,8.695652174,0,0,0.0528239957
16.06957,4195.2,0.750658,2.5419341262,52.17391304,0,30.43478261,8.695652174,8.695652174,0,0,0.0474774774
13.43123,4043.39,0.748858,2.385287906,52.17391304,0,30.43478261,8.695652174,8.695652174,0,0,0.0451544053
10.67615,4317.22,0.714711,2.8251789021,52.17391304,0,30.43478261,8.695652174,8.695652174,0,0,0.0430804099
9.11887,6596.8,0.755548,2.1743136843,53.84615385,0,42.30769231,0,3.846153846,0,0,0.0557335284
15.11791,5936.36,0.777407,1.7703099468,53.84615385,0,42.30769231,0,3.846153846,0,0,0.0617958702
16.87609,4459.23,0.729074,2.4024081625,53.84615385,0,42.30769231,0,3.846153846,0,0,0.0510846216
13.14037,4584.44,0.734537,2.5951620082,53.84615385,0,42.30769231,0,3.846153846,0,0,0.0506915809
9.08563,5752.07,0.726466,2.4619504416,46.15384615,0,34.61538462,7.692307692,11.53846154,0,0,0.0466544238
15.52706,5108.63,0.762644,1.9944123863,46.15384615,0,34.61538462,7.692307692,11.53846154,0,0,0.0515063066
14.32205,3951.88,0.692535,2.8295050088,46.15384615,0,34.61538462,7.692307692,11.53846154,0,0,0.0417129753
18.79998,4883.64,0.771318,1.8023698838,46.15384615,0,34.61538462,7.692307692,11.53846154,0,0,0.0534474006
7.17214,3600.61,0.633471,3.5694137452,46.15384615,0,34.61538462,7.692307692,11.53846154,0,0,0.0353899815
9.91532,5660.21,0.798442,2.1676109779,50,0,27.27272727,13.63636364,9.090909091,0,0,0.0531082221
15.71949,4684.8,0.77764,2.4833064223,50,0,27.27272727,13.63636364,9.090909091,0,0,0.0499172123
7.78339,4389.39,0.774792,3.1685681655,50,0,27.27272727,13.63636364,9.090909091,0,0,0.0459309046
9.83931,4559.25,0.739815,2.8439489804,50,0,27.27272727,13.63636364,9.090909091,0,0,0.0438371113
15.77906,3234.09,0.701449,2.8323599488,50,0,20.83333333,8.333333333,20.83333333,0,0,0.0403685598
6.37141,2763.32,0.600739,3.8467772738,50,0,20.83333333,8.333333333,20.83333333,0,0,0.0316588574
17.19747,4332.73,0.796908,1.873601467,50,0,20.83333333,8.333333333,20.83333333,0,0,0.0500791223
17.17109,2454.89,0.661325,2.7623305867,44.82758621,0,37.93103448,13.79310345,3.448275862,0,0,0.0369349628
11.34401,5551.43,0.780603,2.2155960089,44.82758621,0,37.93103448,13.79310345,3.448275862,0,0,0.0543096337
10.04078,5437.09,0.767167,2.3072490787,50,0,29.16666667,8.333333333,12.5,0,0,0.0483613189
14.40549,4837.21,0.778683,2.133774525,50,0,29.16666667,8.333333333,12.5,0,0,0.050835435
16.48188,3787.41,0.734774,2.5042125416,50,0,29.16666667,8.333333333,12.5,0,0,0.044393869
9.64668,4144.31,0.692535,2.9766131931,50,0,29.16666667,8.333333333,12.5,0,0,0.0393520288
9.34382,5084.49,0.730592,2.4474403822,48.14814815,0,33.33333333,7.407407407,11.11111111,0,0,0.0448172561
14.7429,2693.58,0.647349,2.3089815288,48.14814815,0,33.33333333,7.407407407,11.11111111,0,0,0.0353523088
13.5563,3386.84,0.668824,2.6581127195,48.14814815,0,33.33333333,7.407407407,11.11111111,0,0,0.0360533094
7.70041,2988.38,0.630697,3.500815165,48.14814815,0,33.33333333,7.407407407,11.11111111,0,0,0.0328678591
12.43448,4968.13,0.798242,2.430182154,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.0540308025
12.0894,4611.52,0.786277,2.8189191484,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.0499920012
7.27711,1168.24,0.444504,4.5022790319,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.021783895
15.62771,4153.96,0.7919,2.2273188756,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.053005515
9.22895,2904.17,0.657944,3.6236054322,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.036386929
12.80099,4586.04,0.736051,2.6167258686,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.0465884516
16.29204,5614.88,0.79807,2.1877471745,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.0583952569
9.96722,4653.11,0.736432,3.0585983697,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.0459647276
13.83305,4839.36,0.787544,2.2669636629,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.0535826901
8.29751,5161.26,0.736357,3.1580984946,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.0473731711
11.82111,4933,0.757472,2.6138217427,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.0512967682
11.45317,5256.32,0.766738,2.5567270894,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.0516208915
10.60732,5944.5,0.793857,2.0998850084,50,0,31.81818182,9.090909091,9.090909091,0,0,0.0544246616
16.31905,4659.11,0.769207,2.456839128,50,0,31.81818182,9.090909091,9.090909091,0,0,0.0521497766
9.23145,4240.6,0.704314,3.258448323,50,0,31.81818182,9.090909091,9.090909091,0,0,0.0410665763
12.85775,4512.99,0.76132,2.3788370257,50,0,31.81818182,9.090909091,9.090909091,0,0,0.0487348343
10.65009,4743.69,0.737906,2.7433617505,50,0,31.81818182,9.090909091,9.090909091,0,0,0.0454467104
10.38865,5363.67,0.752067,2.2411807268,52,0,36,8,4,0,0,0.0515073342
12.80956,6064.02,0.795351,1.9182599796,52,0,36,8,4,0,0,0.0593413481
16.05001,4049.87,0.719442,2.5763190626,52,0,36,8,4,0,0,0.0460996159
7.89975,3939.32,0.653421,3.5544093253,52,0,36,8,4,0,0,0.0385259476
10.71196,4800.08,0.74573,2.3333363703,52,0,36,8,4,0,0,0.0489103101
13.75508,4603.63,0.780409,1.9417793273,50,0,20.83333333,8.333333333,20.83333333,0,0,0.0484934075
15.79589,3049.27,0.699729,2.3413838111,50,0,20.83333333,8.333333333,20.83333333,0,0,0.0369365571
12.50483,3191.46,0.722208,2.724553775,50,0,20.83333333,8.333333333,20.83333333,0,0,0.0383690334
6.04989,3586.85,0.696485,3.6984560424,50,0,20.83333333,8.333333333,20.83333333,0,0,0.036617929
13.02143,5430.38,0.734402,2.1121650704,45.16129032,0,41.93548387,6.451612903,6.451612903,0,0,0.0493442529
15.9932,3128.52,0.626327,2.7657816648,45.16129032,0,41.93548387,6.451612903,6.451612903,0,0,0.0383567362
13.07808,4859.92,0.756378,1.986582187,45.16129032,0,41.93548387,6.451612903,6.451612903,0,0,0.0512444959
12.84576,4952.98,0.799933,2.354497815,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.0532202712
7.85573,1708.18,0.539031,4.2297724207,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.031608412
12.51457,4643.49,0.790955,2.7969584057,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.0511950975
7.10339,764.537,0.299259,4.6086561645,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.0225701797
9.08813,5265.23,0.760126,3.2162109277,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.0490662885
11.75982,5338.33,0.773882,2.560479866,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.0535485718
10.36668,5446.94,0.794148,2.4375475831,58.33333333,0,29.16666667,8.333333333,4.166666667,0,0,0.0528581733
15.77751,4757.49,0.794111,2.8440070316,58.33333333,0,29.16666667,8.333333333,4.166666667,0,0,0.0526174193
12.66675,4486.09,0.756779,2.4964707287,50,0,30,15,5,0,0,0.0470257101
9.60536,4402.79,0.751258,2.896375881,50,0,30,15,5,0,0,0.0454551464
9.04255,5318.29,0.776421,3.0882742574,50,0,30,15,5,0,0,0.0488836626
6.13197,528.262,0.245763,5.1278267636,50,0,30,15,5,0,0,0.0172655959
13.38564,5063.84,0.786182,2.4491142349,50,0,30,15,5,0,0,0.0525741161
15.33616,4718.33,0.767933,2.5169300614,52.17391304,0,30.43478261,8.695652174,8.695652174,0,0,0.0502428045
11.06458,4346.68,0.727254,2.84327247,52.17391304,0,30.43478261,8.695652174,8.695652174,0,0,0.0438646317
10.78262,4674.83,0.782604,2.5828701477,60,0,35,0,5,0,0,0.0548119538
11.03796,5036.92,0.760588,2.5211570984,60,0,35,0,5,0,0,0.0542885778
