PLD (Å),LCD (Å),Sacc (m2/gr),Porosity,Density (gr/cm3),NCH4 - 10 bar (mol/kg)
7.25611,8.88134,5231.35,0.777174,0.490968881,4.6607240739
8.75369,9.78984,5844.92,0.771242,0.454308482,4.3625447706
8.44129,9.04581,5601.42,0.785231,0.480741579,4.5043067804
8.89836,11.82588,5116.53,0.798934,0.440932593,3.889406847
8.83923,9.48769,5559,0.79143,0.481767886,4.2839464159
8.9098,10.24127,5762.81,0.777562,0.436104383,4.131740278
8.89244,9.36356,5282.92,0.751355,0.478070359,4.2939944652
7.88375,11.87691,5613.57,0.761203,0.401942257,4.4747599186
6.56745,8.11878,6673.23,0.767708,0.439537645,6.0551411774
9.84906,11.2119,5599.79,0.787906,0.438323673,3.9750259897
8.95497,9.67902,5247.56,0.765416,0.480357572,4.2695335115
10.89038,11.88457,4522.2,0.739827,0.498675933,4.0401170936
9.90528,10.60855,4273.54,0.763462,0.504383714,3.5193122451
7.11918,8.65135,4287.32,0.742538,0.559506869,4.7467315561
7.86907,9.37268,4954.24,0.748809,0.507481288,4.8310179813
9.34163,9.81141,5044.63,0.736434,0.48743391,4.1144846015
8.38001,9.7075,5106.34,0.774776,0.471012581,4.2354799613
8.0939,9.23866,6389.71,0.794241,0.427168038,4.533304717
9.59902,11.39871,5966.46,0.789194,0.413160291,3.9085968638
8.8732,9.59896,6040.33,0.774737,0.455672897,4.5434073771
8.55464,11.29052,5513.3,0.759062,0.42984413,4.2148482267
9.03904,9.81644,5432.57,0.735281,0.472916191,4.4024335748
9.34573,11.18127,4442.35,0.757634,0.499341856,3.746412045
7.01512,8.57685,4373.91,0.747066,0.551523089,4.4954032703
8.72999,9.18893,4923.15,0.698565,0.480661579,3.9010934339
8.71915,10.6635,6010.15,0.767909,0.402843757,3.783901021
12.65902,14.24542,5756.36,0.79699,0.41849353,3.8335987197
9.7592,10.94323,5269.04,0.793118,0.486103887,5.6856160017
6.77333,9.86226,4323.02,0.766057,0.536226993,5.0379280047
6.20837,9.30313,4584.58,0.750913,0.520590143,5.6723664733
7.53243,8.95787,5573.98,0.771182,0.428773315,3.807832483
8.72567,11.18091,4260.22,0.734887,0.455097441,2.8296752081
9.9625,13.296,4787.45,0.749873,0.419944655,2.5784677901
10.21498,14.93049,5476.19,0.797748,0.365387196,2.8558514933
13.85323,14.94603,5326.43,0.756128,0.354440866,3.0019557268
15.70807,16.15839,5234.82,0.792817,0.384579512,3.3628833859
15.39035,15.78535,3878.69,0.770249,0.442678675,3.3724062183
15.15792,15.7188,4324.9,0.757093,0.40366315,3.4548152097
9.82128,12.58868,4640.6,0.761769,0.427226888,3.687522307
14.30278,14.86546,4941.82,0.735832,0.367038304,2.7366987544
14.88649,15.53229,5537.35,0.787487,0.340569331,2.9028565644
14.49201,15.07931,5381.82,0.764952,0.360737541,2.7407144729
13.46485,13.98155,3898.15,0.72934,0.455892654,2.364632636
14.22295,15.25365,5297,0.776554,0.36201989,2.9260307984
14.51594,15.06211,4721.35,0.726391,0.388725348,2.2673182231
8.23965,13.69994,5577.65,0.764662,0.383669884,2.8107286093
13.57184,14.08979,4925.5,0.73813,0.385629815,2.3788971307
14.4834,14.90918,5346.51,0.780926,0.362310173,2.7628604462
9.85896,13.83847,6616.63,0.79551,0.320064922,3.2107263423
8.50511,10.94734,6944.1,0.783707,0.357935266,3.3735128722
7.74126,10.47802,5256.54,0.781557,0.472825743,2.9912041775
5.8983,9.28878,3522.33,0.696885,0.592287586,3.9484799619
9.25873,15.15972,4813.02,0.781896,0.418635076,2.9499787097
17.66968,18.95795,3467.51,0.769937,0.401746921,2.5837651782
9.72538,11.40303,4361.08,0.799876,0.46220585,3.979444534
9.81423,10.78416,6199.33,0.783803,0.429671333,4.8663850185
11.52086,12.35339,5293.42,0.79385,0.364653056,2.3599934251
10.68007,11.54787,5053.87,0.770198,0.461528951,3.5918806983
10.4163,13.51229,5166.35,0.784168,0.459842467,3.0803780852
8.95676,10.29232,5420.6,0.763872,0.491387787,4.5637228709
7.43787,8.97217,5340.05,0.723987,0.465977112,3.5677537418
6.26094,8.50922,5155.37,0.772579,0.495363369,6.1721315147
8.7835,10.13451,5637.96,0.796441,0.423149855,3.5915146886
8.37694,10.26922,6095.03,0.785898,0.397486865,3.5585282884
10.14799,11.44144,5546.02,0.78054,0.435445801,3.8443578957
7.91497,10.17866,5523.73,0.757058,0.461156468,3.766688073
8.36986,10.67245,6277.32,0.785245,0.378656206,2.9515338184
9.72626,11.38905,5659.37,0.790025,0.433530956,4.0674952963
8.97102,11.35946,5212.62,0.781094,0.423603138,3.1234044338
8.81919,10.49752,3703.42,0.717523,0.509728434,3.2457623032
7.32174,11.29379,6584.45,0.784466,0.368736899,3.317288054
14.60938,15.22844,4602.64,0.77981,0.385538328,3.2462349788
8.1089,9.10857,5734.96,0.784674,0.410864576,4.1660485922
8.71113,10.91553,5118.32,0.791154,0.449736415,3.7745674992
8.36909,13.27973,5393.64,0.765039,0.424927678,2.9868426309
14.64338,15.28811,4295.15,0.749321,0.417601307,2.6258293758
19.42883,19.97525,5432.87,0.76229,0.354945052,4.1473050474
15.38949,15.82242,5230.93,0.777346,0.351499596,2.7366002858
7.87473,12.49606,6535.7,0.777424,0.364262517,3.6110417581
15.43373,16.39441,3788.89,0.788949,0.472833814,3.8568561012
4.82587,6.99564,3575.73,0.690075,0.644105274,6.5327535325
18.47582,19.47098,5006.38,0.766612,0.391291734,4.2539747177
13.01732,14.28472,4825.76,0.777857,0.397253359,3.6937412104
8.00401,12.96796,5651.71,0.778968,0.430530329,3.7488199797
16.28379,16.57778,3866.6,0.779255,0.45278608,3.3838086504
8.8044,12.71584,6681.25,0.797785,0.357677922,3.1051712724
15.28116,15.65668,5736.68,0.798409,0.336718038,2.8373611571
15.74039,16.02589,4848.33,0.770011,0.35636491,2.6214147218
12.76151,13.64623,4039.2,0.779937,0.482798696,3.4929260016
10.01061,12.35714,5359.12,0.788677,0.407859958,3.7368583313
5.19524,6.86363,3846.47,0.657153,0.611789936,5.5347073963
8.52895,10.57641,6085.04,0.783891,0.401535375,3.2770425916
9.74008,12.50945,5090,0.798539,0.427717327,3.4143465197
18.10187,19.49955,4928.88,0.773869,0.411666311,3.4136984019
8.95755,10.84054,4405.52,0.774635,0.494241603,3.5369488444
15.42772,16.01479,3469.59,0.689932,0.445401114,2.2052638072
9.58513,13.39964,6487.77,0.797458,0.357299626,3.0184797031
9.25264,11.11581,4437.94,0.777809,0.484706776,3.5422128905
4.6599,5.7201,2557.55,0.629379,0.727060164,5.1242805459
7.17505,12.14537,6605.56,0.7827,0.373616353,3.3608361504
8.41732,11.88636,6579.67,0.793241,0.375174309,3.3236263118
16.4529,16.82834,4722.68,0.771425,0.357453808,2.4822764959
7.72009,10.92555,4050.03,0.775765,0.543370586,2.9400214583
15.36585,15.7803,5871.67,0.792407,0.328283416,3.073852069
8.37604,11.49088,6214.76,0.789551,0.379406604,3.0514358985
14.58197,15.22179,5136.12,0.774316,0.371381087,2.8014000116
15.78273,16.4295,4487.7,0.799565,0.40414143,2.9797962957
15.93944,16.44847,4162.13,0.762199,0.396898855,2.9417724677
4.09217,7.06749,2261.65,0.62391,0.743932143,4.802063622
3.8597,7.19025,2213.27,0.603869,0.72328704,4.7966308482
9.67286,11.95489,4970.26,0.740354,0.452180722,4.0635421887
15.0439,17.22066,5349.56,0.789677,0.391764081,4.444043194
11.629,14.63168,5124.09,0.781735,0.407669407,4.0658141954
8.61056,11.71019,5756.7,0.777582,0.418042124,4.47612481
9.22637,15.20309,4667.24,0.788821,0.432002583,2.4225030808
14.50481,15.87763,3292.87,0.713602,0.550254244,3.0608724304
