PLD (Å),LCD (Å),Sacc (m2/gr),Porosity,Density (gr/cm3),Qst-CH4 (kJ/mol),%C,%F,%H,%N,%O,%S,%Si,NCH4 - 1 bar (mol/kg)
8.2519,9.08563,5752.07,0.726466,0.469006988,9.7357390298,46.15384615,0,34.61538462,7.692307692,11.53846154,0,0,0.3435617045
8.46511,15.52706,5108.63,0.762644,0.401968403,9.7003143939,46.15384615,0,34.61538462,7.692307692,11.53846154,0,0,0.3305159851
11.71501,14.32205,3951.88,0.692535,0.498953257,14.1513762054,46.15384615,0,34.61538462,7.692307692,11.53846154,0,0,0.6151088414
14.02213,18.79998,4883.64,0.771318,0.37986766,8.1365990564,46.15384615,0,34.61538462,7.692307692,11.53846154,0,0,0.253018788
6.71281,7.17214,3600.61,0.633471,0.625516501,12.6690196696,46.15384615,0,34.61538462,7.692307692,11.53846154,0,0,0.5955490674
7.77885,9.91532,5660.21,0.798442,0.435799728,8.3152544317,50,0,27.27272727,13.63636364,9.090909091,0,0,0.3342165516
13.14819,15.71949,4684.8,0.77764,0.457907143,12.4654026121,50,0,27.27272727,13.63636364,9.090909091,0,0,0.4965374945
7.32807,7.78339,4389.39,0.774792,0.576388216,11.7182877223,50,0,27.27272727,13.63636364,9.090909091,0,0,0.7423467095
7.53834,9.83931,4559.25,0.739815,0.53007779,12.1806528604,50,0,27.27272727,13.63636364,9.090909091,0,0,0.5253126302
12.90216,15.77906,3234.09,0.701449,0.555138555,13.7415881135,50,0,20.83333333,8.333333333,20.83333333,0,0,0.49590683
5.2374,6.37141,2763.32,0.600739,0.71685532,16.0404926672,50,0,20.83333333,8.333333333,20.83333333,0,0,0.8529839551
13.7351,17.19747,4332.73,0.796908,0.428908232,8.7208770668,50,0,20.83333333,8.333333333,20.83333333,0,0,0.2732836736
15.31642,17.17109,2454.89,0.661325,0.5191851,23.8780145772,44.82758621,0,37.93103448,13.79310345,3.448275862,0,0,0.9045074877
10.726,11.34401,5551.43,0.780603,0.40693187,9.6709226881,44.82758621,0,37.93103448,13.79310345,3.448275862,0,0,0.396189518
7.88465,10.04078,5437.09,0.767167,0.467323427,9.098679389,50,0,29.16666667,8.333333333,12.5,0,0,0.3527446538
8.74307,14.40549,4837.21,0.778683,0.427805187,10.2434795952,50,0,29.16666667,8.333333333,12.5,0,0,0.3677217389
15.06697,16.48188,3787.41,0.734774,0.486878632,13.3115899984,50,0,29.16666667,8.333333333,12.5,0,0,0.4565807335
6.13609,9.64668,4144.31,0.692535,0.563490211,12.5463363954,50,0,29.16666667,8.333333333,12.5,0,0,0.505070429
7.5105,9.34382,5084.49,0.730592,0.4946387,9.6380726884,48.14814815,0,33.33333333,7.407407407,11.11111111,0,0,0.3792398775
12.19801,14.7429,2693.58,0.647349,0.527135121,9.3605716556,48.14814815,0,33.33333333,7.407407407,11.11111111,0,0,0.2136425235
10.72007,13.5563,3386.84,0.668824,0.547561211,11.805815747,48.14814815,0,33.33333333,7.407407407,11.11111111,0,0,0.3663800433
7.25285,7.70041,2988.38,0.630697,0.654180257,12.9306113269,48.14814815,0,33.33333333,7.407407407,11.11111111,0,0,0.5328468108
10.54884,12.43448,4968.13,0.798242,0.44560492,10.0353693945,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.4349297175
