PLD (Å),LCD (Å),Sacc (m2/gr),Porosity,Density (gr/cm3),Qst-CH4 (kJ/mol),%C,%F,%H,%N,%O,%S,%Si,NCH4 - 0.1 bar (mol/kg)
5.76431,10.39052,4780.42,0.760519,0.531544363,11.665464934,50,0,30,15,5,0,0,0.0696700361
6.87004,8.42145,5427.34,0.775359,0.527983699,11.984516854,50,0,30,15,5,0,0,0.0739108762
4.28397,6.02695,590.924,0.245682,0.917783743,16.9814583424,50,0,30,15,5,0,0,0.0373181206
7.57626,10.04031,3938.69,0.752842,0.541643117,13.3681632585,57.89473684,0,21.05263158,15.78947368,5.263157895,0,0,0.0687896127
6.39946,8.63809,4969.6,0.770626,0.555806053,12.4093727408,57.89473684,0,21.05263158,15.78947368,5.263157895,0,0,0.0755743224
8.23302,10.96297,4893.27,0.774887,0.483567397,12.0418176242,57.89473684,0,21.05263158,15.78947368,5.263157895,0,0,0.0524469623
14.70901,16.24837,5190.94,0.776983,0.427305631,10.6377527324,50,0,31.81818182,9.090909091,9.090909091,0,0,0.0412791386
5.27808,10.12117,4176.67,0.72104,0.558021748,12.4657627171,50,0,31.81818182,9.090909091,9.090909091,0,0,0.0700223318
11.95679,14.3165,4228.86,0.768927,0.452654257,9.7739455899,50,0,31.81818182,9.090909091,9.090909091,0,0,0.0358438196
11.35029,13.22338,4043.14,0.748208,0.517401349,11.3630102055,55,0,25,10,10,0,0,0.0463353289
6.63887,10.07361,4167.17,0.753936,0.550334938,13.3710680354,55,0,25,10,10,0,0,0.0745133426
6.13273,8.36451,4850.1,0.762965,0.564857674,12.7277034725,55,0,25,10,10,0,0,0.0789293443
8.38733,12.6381,4308.54,0.761512,0.489577668,11.8474653826,55,0,25,10,10,0,0,0.0493823503
8.45207,9.44867,6004.75,0.78829,0.449567103,8.8007001487,60,0,15,20,5,0,0,0.0329853305
15.03344,16.75371,3288.66,0.701411,0.475147476,14.6140086703,60,0,15,20,5,0,0,0.063209408
6.31609,7.81878,3820.09,0.719163,0.616039826,15.3309338406,60,0,15,20,5,0,0,0.0922673194
10.24002,13.8496,3870.97,0.752798,0.496221798,11.0359806141,60,0,15,20,5,0,0,0.0413094868
6.3356,7.50821,3775.45,0.724434,0.624151198,13.8164326904,60,0,15,20,5,0,0,0.0842241599
7.07063,9.86602,4657.09,0.73801,0.542130719,12.6141865437,60,0,15,20,5,0,0,0.0546499987
