LCD (Å),Sacc (m2/gr),Porosity,Qst-CH4 (kJ/mol),%C,%F,%H,%N,%O,%S,%Si,NCH4 - 10 bar (mol/kg)
10.07361,4167.17,0.753936,13.3710680354,55,0,25,10,10,0,0,5.2424884377
8.36451,4850.1,0.762965,12.7277034725,55,0,25,10,10,0,0,6.179284065
12.6381,4308.54,0.761512,11.8474653826,55,0,25,10,10,0,0,3.7909383703
9.44867,6004.75,0.78829,8.8007001487,60,0,15,20,5,0,0,3.0391772486
16.75371,3288.66,0.701411,14.6140086703,60,0,15,20,5,0,0,3.4847489202
7.81878,3820.09,0.719163,15.3309338406,60,0,15,20,5,0,0,5.0735699654
13.8496,3870.97,0.752798,11.0359806141,60,0,15,20,5,0,0,3.3637623112
7.50821,3775.45,0.724434,13.8164326904,60,0,15,20,5,0,0,5.7036070662
9.86602,4657.09,0.73801,12.6141865437,60,0,15,20,5,0,0,4.0065948616
9.70648,6125.43,0.791366,8.0795317362,50,0,31.81818182,9.090909091,9.090909091,0,0,3.0972088064
16.14052,4624.68,0.762425,12.5601587927,50,0,31.81818182,9.090909091,9.090909091,0,0,3.7726971089
12.99251,4562.98,0.77588,10.6356934982,50,0,31.81818182,9.090909091,9.090909091,0,0,3.8651445986
10.91417,4732.29,0.735297,12.362372324,50,0,31.81818182,9.090909091,9.090909091,0,0,4.0820927943
17.16585,4178.87,0.78751,13.0031019619,52.38095238,0,23.80952381,9.523809524,14.28571429,0,0,3.9774082333
9.01412,3700.06,0.725973,14.5270100485,52.38095238,0,23.80952381,9.523809524,14.28571429,0,0,5.1207243364
8.54569,4081.09,0.727382,12.2948042238,52.38095238,0,23.80952381,9.523809524,14.28571429,0,0,5.4023271179
16.68582,4188.54,0.7917,12.8402330787,50,0,20,15,15,0,0,3.9197504645
8.61807,3926.58,0.737517,11.9691100334,50,0,20,15,15,0,0,4.9011035112
7.7023,4380.51,0.793794,10.8375485782,50,0,20,15,15,0,0,5.1615905687
12.22795,3900.95,0.749426,11.2603811274,50,0,20,15,15,0,0,3.2591711985
10.00499,5885.86,0.780562,8.5045867212,52.17391304,0,30.43478261,8.695652174,8.695652174,0,0,3.1906507225
16.06957,4195.2,0.750658,13.809098565,52.17391304,0,30.43478261,8.695652174,8.695652174,0,0,3.8423579328
13.43123,4043.39,0.748858,9.7794199025,52.17391304,0,30.43478261,8.695652174,8.695652174,0,0,3.1504309958
10.67615,4317.22,0.714711,12.3019615319,52.17391304,0,30.43478261,8.695652174,8.695652174,0,0,3.8796894381
9.11887,6596.8,0.755548,8.6403109021,53.84615385,0,42.30769231,0,3.846153846,0,0,3.2685585606
15.11791,5936.36,0.777407,8.8116106984,53.84615385,0,42.30769231,0,3.846153846,0,0,2.9798350341
16.87609,4459.23,0.729074,12.9383136433,53.84615385,0,42.30769231,0,3.846153846,0,0,3.8548116819
13.14037,4584.44,0.734537,13.427973741,53.84615385,0,42.30769231,0,3.846153846,0,0,4.5020750365
9.08563,5752.07,0.726466,9.7357390298,46.15384615,0,34.61538462,7.692307692,11.53846154,0,0,3.153127372
15.52706,5108.63,0.762644,9.7003143939,46.15384615,0,34.61538462,7.692307692,11.53846154,0,0,2.8693271622
14.32205,3951.88,0.692535,14.1513762054,46.15384615,0,34.61538462,7.692307692,11.53846154,0,0,3.7365712539
18.79998,4883.64,0.771318,8.1365990564,46.15384615,0,34.61538462,7.692307692,11.53846154,0,0,2.385636878
7.17214,3600.61,0.633471,12.6690196696,46.15384615,0,34.61538462,7.692307692,11.53846154,0,0,4.6721440881
9.91532,5660.21,0.798442,8.3152544317,50,0,27.27272727,13.63636364,9.090909091,0,0,3.1939676557
15.71949,4684.8,0.77764,12.4654026121,50,0,27.27272727,13.63636364,9.090909091,0,0,3.913506827
7.78339,4389.39,0.774792,11.7182877223,50,0,27.27272727,13.63636364,9.090909091,0,0,6.012196358
9.83931,4559.25,0.739815,12.1806528604,50,0,27.27272727,13.63636364,9.090909091,0,0,4.0839464353
15.77906,3234.09,0.701449,13.7415881135,50,0,20.83333333,8.333333333,20.83333333,0,0,3.6927268312
6.37141,2763.32,0.600739,16.0404926672,50,0,20.83333333,8.333333333,20.83333333,0,0,5.1271689229
17.19747,4332.73,0.796908,8.7208770668,50,0,20.83333333,8.333333333,20.83333333,0,0,2.5650380334
17.17109,2454.89,0.661325,23.8780145772,44.82758621,0,37.93103448,13.79310345,3.448275862,0,0,3.3813065903
11.34401,5551.43,0.780603,9.6709226881,44.82758621,0,37.93103448,13.79310345,3.448275862,0,0,3.6230368514
10.04078,5437.09,0.767167,9.098679389,50,0,29.16666667,8.333333333,12.5,0,0,3.2457033426
14.40549,4837.21,0.778683,10.2434795952,50,0,29.16666667,8.333333333,12.5,0,0,3.3841317721
16.48188,3787.41,0.734774,13.3115899984,50,0,29.16666667,8.333333333,12.5,0,0,3.2279208838
9.64668,4144.31,0.692535,12.5463363954,50,0,29.16666667,8.333333333,12.5,0,0,4.0040173501
9.34382,5084.49,0.730592,9.6380726884,48.14814815,0,33.33333333,7.407407407,11.11111111,0,0,3.3442586007
14.7429,2693.58,0.647349,9.3605716556,48.14814815,0,33.33333333,7.407407407,11.11111111,0,0,1.9311918398
13.5563,3386.84,0.668824,11.805815747,48.14814815,0,33.33333333,7.407407407,11.11111111,0,0,2.9903648604
7.70041,2988.38,0.630697,12.9306113269,48.14814815,0,33.33333333,7.407407407,11.11111111,0,0,3.6826741905
12.43448,4968.13,0.798242,10.0353693945,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,3.9623412126
12.0894,4611.52,0.786277,11.8870602345,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,4.8917481434
7.27711,1168.24,0.444504,14.5921020525,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,2.6374735138
15.62771,4153.96,0.7919,10.9290450279,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,3.6841765644
9.22895,2904.17,0.657944,13.8368725819,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,4.9927466569
12.80099,4586.04,0.736051,11.1439951659,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,3.85578931
16.29204,5614.88,0.79807,9.8897459772,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,3.7662362846
9.96722,4653.11,0.736432,13.1281270042,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,5.1355483599
13.83305,4839.36,0.787544,9.7188085302,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,3.7393530099
8.29751,5161.26,0.736357,11.8042187204,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,5.3180905197
11.82111,4933,0.757472,11.034915783,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,3.9120950618
11.45317,5256.32,0.766738,12.1666706429,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,4.0844859801
10.60732,5944.5,0.793857,8.1412092604,50,0,31.81818182,9.090909091,9.090909091,0,0,3.054966546
16.31905,4659.11,0.769207,12.4857547765,50,0,31.81818182,9.090909091,9.090909091,0,0,4.0356215141
9.23145,4240.6,0.704314,12.8515887022,50,0,31.81818182,9.090909091,9.090909091,0,0,5.3202479614
12.85775,4512.99,0.76132,10.6982994344,50,0,31.81818182,9.090909091,9.090909091,0,0,3.724985537
10.65009,4743.69,0.737906,12.491531973,50,0,31.81818182,9.090909091,9.090909091,0,0,4.0750328065
10.38865,5363.67,0.752067,8.9800432324,52,0,36,8,4,0,0,3.2779634925
12.80956,6064.02,0.795351,7.7243076008,52,0,36,8,4,0,0,3.0767398639
16.05001,4049.87,0.719442,14.0224563828,52,0,36,8,4,0,0,3.7824487596
7.89975,3939.32,0.653421,14.3413469198,52,0,36,8,4,0,0,4.9737922488
10.71196,4800.08,0.74573,9.4713986112,52,0,36,8,4,0,0,3.2579378413
13.75508,4603.63,0.780409,9.2498418415,50,0,20.83333333,8.333333333,20.83333333,0,0,2.5832190741
15.79589,3049.27,0.699729,11.4785072804,50,0,20.83333333,8.333333333,20.83333333,0,0,2.663282653
12.50483,3191.46,0.722208,13.9632323667,50,0,20.83333333,8.333333333,20.83333333,0,0,3.6433286752
6.04989,3586.85,0.696485,13.3409308221,50,0,20.83333333,8.333333333,20.83333333,0,0,5.9045053698
13.02143,5430.38,0.734402,8.940670814,45.16129032,0,41.93548387,6.451612903,6.451612903,0,0,3.0283822963
15.9932,3128.52,0.626327,16.8836741784,45.16129032,0,41.93548387,6.451612903,6.451612903,0,0,3.9217848637
13.07808,4859.92,0.756378,8.457047998,45.16129032,0,41.93548387,6.451612903,6.451612903,0,0,2.7812821704
12.84576,4952.98,0.799933,9.4467433632,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,3.8227912743
7.85573,1708.18,0.539031,14.0822956214,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,2.9901169839
12.51457,4643.49,0.790955,11.7891956538,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,4.984919988
7.10339,764.537,0.299259,14.8205249377,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,2.5289754688
9.08813,5265.23,0.760126,12.0947202222,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,6.1397557393
