PLD (Å),LCD (Å),Sacc (m2/gr),Porosity,Density (gr/cm3),NH2 - 10 bar (mol/kg)
9.9625,13.296,4787.45,0.749873,0.419944655,0.4607581518
10.21498,14.93049,5476.19,0.797748,0.365387196,0.5537127361
13.85323,14.94603,5326.43,0.756128,0.354440866,0.5381761763
15.70807,16.15839,5234.82,0.792817,0.384579512,0.5451732652
15.39035,15.78535,3878.69,0.770249,0.442678675,0.4674521119
15.15792,15.7188,4324.9,0.757093,0.40366315,0.485956207
9.82128,12.58868,4640.6,0.761769,0.427226888,0.461239283
14.30278,14.86546,4941.82,0.735832,0.367038304,0.5229580817
14.88649,15.53229,5537.35,0.787487,0.340569331,0.5755486842
14.49201,15.07931,5381.82,0.764952,0.360737541,0.5359033584
13.46485,13.98155,3898.15,0.72934,0.455892654,0.4113599101
14.22295,15.25365,5297,0.776554,0.36201989,0.5410209974
14.51594,15.06211,4721.35,0.726391,0.388725348,0.4692772192
8.23965,13.69994,5577.65,0.764662,0.383669884,0.5128440354
13.57184,14.08979,4925.5,0.73813,0.385629815,0.4860985772
14.4834,14.90918,5346.51,0.780926,0.362310173,0.5463076514
9.85896,13.83847,6616.63,0.79551,0.320064922,0.6324413082
8.50511,10.94734,6944.1,0.783707,0.357935266,0.5630352141
7.74126,10.47802,5256.54,0.781557,0.472825743,0.4290740563
5.8983,9.28878,3522.33,0.696885,0.592287586,0.3109919273
9.25873,15.15972,4813.02,0.781896,0.418635076,0.4830076869
17.66968,18.95795,3467.51,0.769937,0.401746921,0.4894807488
9.72538,11.40303,4361.08,0.799876,0.46220585,0.4569200891
9.81423,10.78416,6199.33,0.783803,0.429671333,0.4949421005
11.52086,12.35339,5293.42,0.79385,0.364653056,0.5488046773
10.68007,11.54787,5053.87,0.770198,0.461528951,0.4429538493
10.4163,13.51229,5166.35,0.784168,0.459842467,0.445017891
8.95676,10.29232,5420.6,0.763872,0.491387787,0.4225723395
7.43787,8.97217,5340.05,0.723987,0.465977112,0.4094270871
6.26094,8.50922,5155.37,0.772579,0.495363369,0.4106354665
8.7835,10.13451,5637.96,0.796441,0.423149855,0.5008841107
8.37694,10.26922,6095.03,0.785898,0.397486865,0.515534356
10.14799,11.44144,5546.02,0.78054,0.435445801,0.4778750683
7.91497,10.17866,5523.73,0.757058,0.461156468,0.4455341641
8.36986,10.67245,6277.32,0.785245,0.378656206,0.5286115993
9.72626,11.38905,5659.37,0.790025,0.433530956,0.4872447216
8.97102,11.35946,5212.62,0.781094,0.423603138,0.4891493361
8.81919,10.49752,3703.42,0.717523,0.509728434,0.3873523332
7.32174,11.29379,6584.45,0.784466,0.368736899,0.5586948485
14.60938,15.22844,4602.64,0.77981,0.385538328,0.5182562684
8.1089,9.10857,5734.96,0.784674,0.410864576,0.4967017972
8.71113,10.91553,5118.32,0.791154,0.449736415,0.4672893611
8.36909,13.27973,5393.64,0.765039,0.424927678,0.4623912478
14.64338,15.28811,4295.15,0.749321,0.417601307,0.4606951327
19.42883,19.97525,5432.87,0.76229,0.354945052,0.5403393589
15.38949,15.82242,5230.93,0.777346,0.351499596,0.5639377116
7.87473,12.49606,6535.7,0.777424,0.364262517,0.5539496414
15.43373,16.39441,3788.89,0.788949,0.472833814,0.4406304177
4.82587,6.99564,3575.73,0.690075,0.644105274,0.2536020759
18.47582,19.47098,5006.38,0.766612,0.391291734,0.4966859806
13.01732,14.28472,4825.76,0.777857,0.397253359,0.5041084273
8.00401,12.96796,5651.71,0.778968,0.430530329,0.4807034561
16.28379,16.57778,3866.6,0.779255,0.45278608,0.4527652985
8.8044,12.71584,6681.25,0.797785,0.357677922,0.574984859
15.28116,15.65668,5736.68,0.798409,0.336718038,0.6013264994
15.74039,16.02589,4848.33,0.770011,0.35636491,0.5498789408
12.76151,13.64623,4039.2,0.779937,0.482798696,0.4274044283
10.01061,12.35714,5359.12,0.788677,0.407859958,0.4995639145
5.19524,6.86363,3846.47,0.657153,0.611789936,0.2781367609
8.52895,10.57641,6085.04,0.783891,0.401535375,0.5164738075
9.74008,12.50945,5090,0.798539,0.427717327,0.4832803059
18.10187,19.49955,4928.88,0.773869,0.411666311,0.4708018579
8.95755,10.84054,4405.52,0.774635,0.494241603,0.4075622066
15.42772,16.01479,3469.59,0.689932,0.445401114,0.3984662807
9.58513,13.39964,6487.77,0.797458,0.357299626,0.5669537872
9.25264,11.11581,4437.94,0.777809,0.484706776,0.413402885
4.6599,5.7201,2557.55,0.629379,0.727060164,0.2043018428
7.17505,12.14537,6605.56,0.7827,0.373616353,0.5467768537
8.41732,11.88636,6579.67,0.793241,0.375174309,0.5531830966
16.4529,16.82834,4722.68,0.771425,0.357453808,0.5383572461
7.72009,10.92555,4050.03,0.775765,0.543370586,0.3810469853
15.36585,15.7803,5871.67,0.792407,0.328283416,0.6142427976
8.37604,11.49088,6214.76,0.789551,0.379406604,0.5450177008
14.58197,15.22179,5136.12,0.774316,0.371381087,0.5329213126
15.78273,16.4295,4487.7,0.799565,0.40414143,0.5020781453
15.93944,16.44847,4162.13,0.762199,0.396898855,0.4945911482
4.09217,7.06749,2261.65,0.62391,0.743932143,0.2231810816
3.8597,7.19025,2213.27,0.603869,0.72328704,0.2185337412
9.67286,11.95489,4970.26,0.740354,0.452180722,0.4372836885
15.0439,17.22066,5349.56,0.789677,0.391764081,0.51445168
11.629,14.63168,5124.09,0.781735,0.407669407,0.4956567285
8.61056,11.71019,5756.7,0.777582,0.418042124,0.4930556329
9.22637,15.20309,4667.24,0.788821,0.432002583,0.4662082186
14.50481,15.87763,3292.87,0.713602,0.550254244,0.3335197744
